ordre_agents,Vp,numberOfTurn,0,1,2,3,4
"A0,A1,A2,A3,A4",0.18181818181818182,3,True,True,True,False,True
"A0,A1,A2,A4,A3",0.18181818181818182,3,True,True,True,False,True
"A0,A1,A3,A2,A4",0.18181818181818182,3,True,True,True,False,True
"A0,A1,A3,A4,A2",0.18181818181818182,3,True,True,True,False,True
"A0,A1,A4,A2,A3",0.18181818181818182,3,True,True,True,False,True
"A0,A1,A4,A3,A2",0.18181818181818182,3,True,True,True,False,True
"A0,A2,A1,A3,A4",0.18181818181818182,3,True,True,True,False,True
"A0,A2,A1,A4,A3",0.18181818181818182,3,True,True,True,False,True
"A0,A2,A3,A1,A4",0.18181818181818182,3,True,True,True,False,True
"A0,A2,A3,A4,A1",0.18181818181818182,3,True,True,True,False,True
"A0,A2,A4,A1,A3",0.18181818181818182,3,True,True,True,False,True
"A0,A2,A4,A3,A1",0.18181818181818182,3,True,True,True,False,True
"A0,A3,A1,A2,A4",0.18181818181818182,3,True,True,True,False,True
"A0,A3,A1,A4,A2",0.18181818181818182,3,True,True,True,False,True
"A0,A3,A2,A1,A4",0.18181818181818182,3,True,True,True,False,True
"A0,A3,A2,A4,A1",0.18181818181818182,3,True,True,True,False,True
"A0,A3,A4,A1,A2",0.18181818181818182,3,True,True,True,False,True
"A0,A3,A4,A2,A1",0.18181818181818182,3,True,True,True,False,True
"A0,A4,A1,A2,A3",0.18181818181818182,3,True,True,True,False,True
"A0,A4,A1,A3,A2",0.18181818181818182,3,True,True,True,False,True
"A0,A4,A2,A1,A3",0.18181818181818182,3,True,True,True,False,True
"A0,A4,A2,A3,A1",0.18181818181818182,3,True,True,True,False,True
"A0,A4,A3,A1,A2",0.18181818181818182,4,True,True,True,False,True
"A0,A4,A3,A2,A1",0.18181818181818182,4,True,True,True,False,True
"A1,A0,A2,A3,A4",0.18181818181818182,3,True,True,True,False,True
"A1,A0,A2,A4,A3",0.18181818181818182,3,True,True,True,False,True
"A1,A0,A3,A2,A4",0.18181818181818182,3,True,True,True,False,True
"A1,A0,A3,A4,A2",0.18181818181818182,3,True,True,True,False,True
"A1,A0,A4,A2,A3",0.18181818181818182,3,True,True,True,False,True
"A1,A0,A4,A3,A2",0.18181818181818182,3,True,True,True,False,True
"A1,A2,A0,A3,A4",0.18181818181818182,3,True,True,True,False,True
"A1,A2,A0,A4,A3",0.18181818181818182,3,True,True,True,False,True
"A1,A2,A3,A0,A4",0.18181818181818182,3,True,True,True,False,True
"A1,A2,A3,A4,A0",0.18181818181818182,3,True,True,True,False,True
"A1,A2,A4,A0,A3",0.18181818181818182,3,True,True,True,False,True
"A1,A2,A4,A3,A0",0.18181818181818182,3,True,True,True,False,True
"A1,A3,A0,A2,A4",0.18181818181818182,3,True,True,True,False,True
"A1,A3,A0,A4,A2",0.18181818181818182,3,True,True,True,False,True
"A1,A3,A2,A0,A4",0.18181818181818182,3,True,True,True,False,True
"A1,A3,A2,A4,A0",0.18181818181818182,3,True,True,True,False,True
"A1,A3,A4,A0,A2",0.2,4,True,True,True,False,True
"A1,A3,A4,A2,A0",0.2,4,True,True,True,False,True
"A1,A4,A0,A2,A3",0.18181818181818182,3,True,True,True,False,True
"A1,A4,A0,A3,A2",0.18181818181818182,3,True,True,True,False,True
"A1,A4,A2,A0,A3",0.18181818181818182,3,True,True,True,False,True
"A1,A4,A2,A3,A0",0.18181818181818182,3,True,True,True,False,True
"A1,A4,A3,A0,A2",0.18181818181818182,3,True,True,True,False,True
"A1,A4,A3,A2,A0",0.18181818181818182,3,True,True,True,False,True
"A2,A0,A1,A3,A4",0.18181818181818182,3,True,True,True,False,True
"A2,A0,A1,A4,A3",0.18181818181818182,3,True,True,True,False,True
"A2,A0,A3,A1,A4",0.18181818181818182,3,True,True,True,False,True
"A2,A0,A3,A4,A1",0.18181818181818182,3,True,True,True,False,True
"A2,A0,A4,A1,A3",0.18181818181818182,3,True,True,True,False,True
"A2,A0,A4,A3,A1",0.18181818181818182,3,True,True,True,False,True
"A2,A1,A0,A3,A4",0.18181818181818182,3,True,True,True,False,True
"A2,A1,A0,A4,A3",0.18181818181818182,3,True,True,True,False,True
"A2,A1,A3,A0,A4",0.18181818181818182,3,True,True,True,False,True
"A2,A1,A3,A4,A0",0.18181818181818182,3,True,True,True,False,True
"A2,A1,A4,A0,A3",0.18181818181818182,3,True,True,True,False,True
"A2,A1,A4,A3,A0",0.18181818181818182,3,True,True,True,False,True
"A2,A3,A0,A1,A4",0.18181818181818182,3,True,True,True,False,True
"A2,A3,A0,A4,A1",0.18181818181818182,3,True,True,True,False,True
"A2,A3,A1,A0,A4",0.18181818181818182,3,True,True,True,False,True
"A2,A3,A1,A4,A0",0.18181818181818182,3,True,True,True,False,True
"A2,A3,A4,A0,A1",0.2,4,True,True,True,False,True
"A2,A3,A4,A1,A0",0.2,4,True,True,True,False,True
"A2,A4,A0,A1,A3",0.18181818181818182,3,True,True,True,False,True
"A2,A4,A0,A3,A1",0.18181818181818182,3,True,True,True,False,True
"A2,A4,A1,A0,A3",0.18181818181818182,3,True,True,True,False,True
"A2,A4,A1,A3,A0",0.18181818181818182,3,True,True,True,False,True
"A2,A4,A3,A0,A1",0.18181818181818182,3,True,True,True,False,True
"A2,A4,A3,A1,A0",0.18181818181818182,3,True,True,True,False,True
"A3,A0,A1,A2,A4",0.18181818181818182,3,True,True,True,False,True
"A3,A0,A1,A4,A2",0.18181818181818182,3,True,True,True,False,True
"A3,A0,A2,A1,A4",0.18181818181818182,3,True,True,True,False,True
"A3,A0,A2,A4,A1",0.18181818181818182,3,True,True,True,False,True
"A3,A0,A4,A1,A2",0.18181818181818182,3,True,True,True,False,True
"A3,A0,A4,A2,A1",0.18181818181818182,3,True,True,True,False,True
"A3,A1,A0,A2,A4",0.18181818181818182,3,True,True,True,False,True
"A3,A1,A0,A4,A2",0.18181818181818182,3,True,True,True,False,True
"A3,A1,A2,A0,A4",0.18181818181818182,3,True,True,True,False,True
"A3,A1,A2,A4,A0",0.18181818181818182,3,True,True,True,False,True
"A3,A1,A4,A0,A2",0.18181818181818182,3,True,True,True,False,True
"A3,A1,A4,A2,A0",0.18181818181818182,3,True,True,True,False,True
"A3,A2,A0,A1,A4",0.18181818181818182,3,True,True,True,False,True
"A3,A2,A0,A4,A1",0.18181818181818182,3,True,True,True,False,True
"A3,A2,A1,A0,A4",0.18181818181818182,3,True,True,True,False,True
"A3,A2,A1,A4,A0",0.18181818181818182,3,True,True,True,False,True
"A3,A2,A4,A0,A1",0.18181818181818182,3,True,True,True,False,True
"A3,A2,A4,A1,A0",0.18181818181818182,3,True,True,True,False,True
"A3,A4,A0,A1,A2",0.18181818181818182,3,True,True,True,False,True
"A3,A4,A0,A2,A1",0.18181818181818182,3,True,True,True,False,True
"A3,A4,A1,A0,A2",0.18181818181818182,3,True,True,True,False,True
"A3,A4,A1,A2,A0",0.18181818181818182,3,True,True,True,False,True
"A3,A4,A2,A0,A1",0.18181818181818182,3,True,True,True,False,True
"A3,A4,A2,A1,A0",0.18181818181818182,3,True,True,True,False,True
"A4,A0,A1,A2,A3",0.18181818181818182,3,True,True,True,False,True
"A4,A0,A1,A3,A2",0.18181818181818182,3,True,True,True,False,True
"A4,A0,A2,A1,A3",0.18181818181818182,3,True,True,True,False,True
"A4,A0,A2,A3,A1",0.18181818181818182,3,True,True,True,False,True
"A4,A0,A3,A1,A2",0.18181818181818182,4,True,True,True,False,True
"A4,A0,A3,A2,A1",0.18181818181818182,4,True,True,True,False,True
"A4,A1,A0,A2,A3",0.18181818181818182,4,True,True,True,False,True
"A4,A1,A0,A3,A2",0.18181818181818182,4,True,True,True,False,True
"A4,A1,A2,A0,A3",0.18181818181818182,4,True,True,True,False,True
"A4,A1,A2,A3,A0",0.18181818181818182,4,True,True,True,False,True
"A4,A1,A3,A0,A2",0.18181818181818182,3,True,True,True,False,True
"A4,A1,A3,A2,A0",0.18181818181818182,4,True,True,True,False,True
"A4,A2,A0,A1,A3",0.18181818181818182,4,True,True,True,False,True
"A4,A2,A0,A3,A1",0.18181818181818182,4,True,True,True,False,True
"A4,A2,A1,A0,A3",0.18181818181818182,4,True,True,True,False,True
"A4,A2,A1,A3,A0",0.18181818181818182,4,True,True,True,False,True
"A4,A2,A3,A0,A1",0.18181818181818182,3,True,True,True,False,True
"A4,A2,A3,A1,A0",0.18181818181818182,4,True,True,True,False,True
"A4,A3,A0,A1,A2",0.18181818181818182,4,True,True,True,False,True
"A4,A3,A0,A2,A1",0.18181818181818182,4,True,True,True,False,True
"A4,A3,A1,A0,A2",0.18181818181818182,4,True,True,True,False,True
"A4,A3,A1,A2,A0",0.18181818181818182,4,True,True,True,False,True
"A4,A3,A2,A0,A1",0.18181818181818182,4,True,True,True,False,True
"A4,A3,A2,A1,A0",0.18181818181818182,4,True,True,True,False,True
